Zip Code,City Name,Name Type,County,State,Terminal,Zone,latitude,longitude
94002,Belmont,Primary City Name,San Mateo,CA,SFO,A,37.5,-122.3
94005,Brisbane,Primary City Name,San Mateo,CA,SFO,A,37.68,-122.41
94010,Burlingame,Primary City Name,San Mateo,CA,SFO,A,37.56,-122.37
94010,Hillsborough,Alternate City Name,San Mateo,CA,SFO,C,37.56,-122.37
94011,Burlingame,Primary City Name,San Mateo,CA,SFO,A,37.57,-122.34
94014,Colma,Alternate City Name,San Mateo,CA,SFO,A,37.69,-122.45
94014,Daly City,Primary City Name,San Mateo,CA,SFO,A,37.69,-122.45
94015,Broadmoor Village,Alternate City Name,San Mateo,CA,SFO,A,37.67,-122.47
94015,Daly City,Primary City Name,San Mateo,CA,SFO,A,37.67,-122.47
94016,Daly City,Primary City Name,San Mateo,CA,SFO,A,37.7,-122.45
94017,Daly City,Primary City Name,San Mateo,CA,SFO,A,37.69,-122.47
94018,El Granada,Primary City Name,San Mateo,CA,SFO,S,37.5,-122.47
94019,Half Moon Bay,Primary City Name,San Mateo,CA,SFO,S,37.44,-122.41
94020,La Honda,Primary City Name,San Mateo,CA,SFO,S,37.28,-122.24
94021,Loma Mar,Primary City Name,San Mateo,CA,SFO,S,37.27,-122.28
94022,Los Altos,Primary City Name,Santa Clara,CA,SFO,C,37.36,-122.14
94022,Los Altos Hills,Alternate City Name,Santa Clara,CA,SFO,C,37.36,-122.14
94023,Los Altos,Primary City Name,Santa Clara,CA,SFO,C,37.37,-122.11
94024,Los Altos,Primary City Name,Santa Clara,CA,SFO,C,37.34,-122.11
94024,Los Altos Hills,Alternate City Name,Santa Clara,CA,SFO,C,37.34,-122.11
94025,Menlo Park,Primary City Name,San Mateo,CA,SFO,A,37.45,-122.17
94025,West Menlo Park,Alternate City Name,San Mateo,CA,SFO,A,37.45,-122.17
94026,Menlo Park,Primary City Name,San Mateo,CA,SFO,A,37.47,-122.18
94027,Atherton,Primary City Name,San Mateo,CA,SFO,A,37.45,-122.2
94027,Menlo Park,Alternate City Name,San Mateo,CA,SFO,A,37.45,-122.2
94028,Menlo Park,Alternate City Name,San Mateo,CA,SFO,A,37.37,-122.21
94028,Portola Valley,Primary City Name,San Mateo,CA,SFO,A,37.37,-122.21
94030,Millbrae,Primary City Name,San Mateo,CA,SFO,A,37.59,-122.4
94035,Moffett Field,Alternate City Name,Santa Clara,CA,SFO,C,37.41,-122.05
94035,Mountain View,Primary City Name,Santa Clara,CA,SFO,C,37.41,-122.05
94037,Montara,Primary City Name,San Mateo,CA,SFO,S,37.54,-122.5
94038,Moss Beach,Primary City Name,San Mateo,CA,SFO,S,37.51,-122.5
94039,Mountain View,Primary City Name,Santa Clara,CA,SFO,C,37.39,-122.07
94040,Mountain View,Primary City Name,Santa Clara,CA,SFO,C,37.38,-122.08
94041,Mountain View,Primary City Name,Santa Clara,CA,SFO,C,37.39,-122.08
94042,Mountain View,Primary City Name,Santa Clara,CA,SFO,C,37.4,-122.08
94043,Mountain View,Primary City Name,Santa Clara,CA,SFO,C,37.41,-122.05
94044,Pacifica,Primary City Name,San Mateo,CA,SFO,C,37.61,-122.48
94060,Pescadero,Primary City Name,San Mateo,CA,SFO,S,37.2,-122.3
94061,Redwood City,Primary City Name,San Mateo,CA,SFO,A,37.46,-122.24
94061,Woodside,Alternate City Name,San Mateo,CA,SFO,C,37.46,-122.24
94062,Emerald Hills,Alternate City Name,San Mateo,CA,SFO,C,37.4,-122.29
94062,Palomar Park,Alternate City Name,San Mateo,CA,SFO,C,37.4,-122.29
94062,Redwood City,Primary City Name,San Mateo,CA,SFO,A,37.4,-122.29
94062,Woodside,Alternate City Name,San Mateo,CA,SFO,C,37.4,-122.29
94063,Redwood City,Primary City Name,San Mateo,CA,SFO,A,37.49,-122.21
94064,Redwood City,Primary City Name,San Mateo,CA,SFO,A,37.46,-122.25
94065,Redwood City,Primary City Name,San Mateo,CA,SFO,A,37.53,-122.24
94066,San Bruno,Primary City Name,San Mateo,CA,SFO,A,37.62,-122.43
94070,San Carlos,Primary City Name,San Mateo,CA,SFO,A,37.49,-122.26
94074,San Gregorio,Primary City Name,San Mateo,CA,SFO,S,37.33,-122.34
94080,South San Francisco,Primary City Name,San Mateo,CA,SFO,A,37.65,-122.42
94083,South San Francisco,Primary City Name,San Mateo,CA,SFO,A,37.64,-122.41
94085,Sunnyvale,Primary City Name,Santa Clara,CA,SFO,C,37.38,-122.01
94086,Sunnyvale,Primary City Name,Santa Clara,CA,SFO,C,37.36,-122.02
94087,Sunnyvale,Primary City Name,Santa Clara,CA,SFO,C,37.35,-122.03
94088,Onizuka AFB,Alternate City Name,Santa Clara,CA,SFO,C,37.39,-122.03
94088,Sunnyvale,Primary City Name,Santa Clara,CA,SFO,C,37.39,-122.03
94089,Sunnyvale,Primary City Name,Santa Clara,CA,SFO,C,37.41,-122.02
94102,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.42
94103,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.77,-122.41
94104,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.4
94105,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.39
94107,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.76,-122.39
94108,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.41
94109,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.42
94110,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.74,-122.41
94111,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.8,-122.4
94112,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.72,-122.44
94114,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.75,-122.43
94115,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.43
94116,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.74,-122.48
94117,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.77,-122.45
94118,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.46
94119,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.45
94120,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.4
94121,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.77,-122.49
94122,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.76,-122.48
94123,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.8,-122.43
94124,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.73,-122.38
94125,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.73,-122.38
94126,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.39
94127,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.74,-122.46
94128,San Francisco,Primary City Name,San Mateo,CA,SFO,A,37.61,-122.38
94129,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.46
94130,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.82,-122.37
94131,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.74,-122.44
94132,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.72,-122.48
94133,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.8,-122.41
94134,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.72,-122.41
94137,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.4
94139,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.4
94140,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.75,-122.41
94141,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.76,-122.41
94142,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.41
94143,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.76,-122.45
94144,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.46
94145,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.4
94146,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.75,-122.43
94147,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.8,-122.43
94151,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.39
94158,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.77,-122.39
94159,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.45
94160,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.71,-122.4
94161,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.4
94163,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.4
94164,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.78,-122.42
94172,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.76,-122.48
94177,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.79,-122.39
94188,San Francisco,Primary City Name,San Francisco,CA,SFO,A,37.74,-122.38
94203,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94204,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.6,-121.44
94205,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.47,-121.44
94206,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.49,-121.45
94207,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94208,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94209,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94211,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94229,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94230,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.47,-121.44
94232,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.55,-121.49
94234,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94235,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94236,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94237,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94239,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.55,-121.49
94240,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94244,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94245,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94247,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94248,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94249,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.57,-121.46
94250,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94252,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94254,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94256,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94257,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94258,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94259,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.55,-121.49
94261,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94262,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94263,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94267,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94268,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94269,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.55,-121.49
94271,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94273,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94274,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94277,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.58,-121.49
94278,Sacramento,Primary City Name,Sacramento,CA,SFO,I,38.57,-121.46
