Origin,Dest,Ship Mon,Ship Tue,Ship Wed,Ship Thu,Ship Fri,Ship Sat
SFO,LAX,M - T 0900,T - W 0900,W - TH 0900,TH - F 0900,F - Sat 0900,Sat - M 0900
SFO,PDX,M - W 1000,T - TH 1000,W - F 0900,TH - M 1000,F - M 1000,
SFO,SEA,M - W 1400,T - TH 1400,W - TH 1400,TH - M 0900,F - M 0900,
SFO,YVR,M - TH 0900,T - F 0900,W - Sat 0900,TH - M 0900,F - M 0900,
LAX,PDX,M - W 1000,T - TH 1000,W - F 1000,TH - M 1000,F - M 1000,
LAX,SEA,M - W 1400,T - TH 1400,W - F 1400,TH - M 0900,F - M 0900,
LAX,SFO,M - T 0900,T - W 0900,W - TH 0900,TH - F 0900,F - Sat 0900,Sat - M 0900
LAX ,YVR,M - TH 0900,T - F 0900,W - T 0900,TH - T 0900,F - T 0900,
PDX,LAX,M - W 0900,T - TH 0900,W - F 0900,TH - Sat 0900,F - M 0900,
PDX,SFO,M - W 0900,T - TH 0900,W - F 0900,TH - Sat 0900,F - M 0900,
SEA,LAX,M - W 0900,T - TH 0900,W - F 0900,TH - Sat 0900,F - M 0900,
SEA,SFO,M - W 0900,T - TH 0900,W - F 0900,TH - Sat 0900,F - M 0900,
YVR,LAX,M - TH 0900,T - F 0900,W - Sat 0900,TH - M 0900,F - M 0900,
YVR,SFO,M - TH 0900,T - F 0900,W - Sat 0900,TH - M 0900,F - M 0900,
