Terminal,Area,M-F_8-5,M-F_afterhours,Saturday,Sunday,Holiday
SFO,A,50.00,65.00,80.00,95.00,Call For Quote
SFO,B,60.00,75.00,90.00,105.00,Call For Quote
SFO,C,70.00,90.00,100.00,125.00,Call For Quote
SFO,D,80.00,100.00,125.00,150.00,Call For Quote
SFO,E,100.00,125.00,150.00,175.00,Call For Quote
SFO,F,125.00,175.00,Call For Quote,Call For Quote,Call For Quote
PDX,A,48.50,59.50,70.50,70.50,Call For Quote
PDX,B,86.00,95.00,115.00,115.00,Call For Quote
PDX,C,110.00,125.00,145.00,145.00,Call For Quote
SEA,A,48.50,59.50,70.50,70.50,Call For Quote
SEA,B,95.00,100.00,125.00,125.00,Call For Quote
SEA,C,125.00,135.00,150.00,150.00,Call For Quote
